Cluster,Score,Type,Gene,Symbol,Network
1,9.142857142857142,Clustered,3579,CXCR2,_FINAL_SUB1
1,9.142857142857142,Clustered,54331,GNG2,_FINAL_SUB1
1,9.142857142857142,Clustered,8698,S1PR4,_FINAL_SUB1
1,9.142857142857142,Clustered,53829,P2RY13,_FINAL_SUB1
1,9.142857142857142,Clustered,1901,S1PR1,_FINAL_SUB1
1,9.142857142857142,Clustered,5473,PPBP,_FINAL_SUB1
1,9.142857142857142,Clustered,1268,CNR1,_FINAL_SUB1
1,9.142857142857142,Clustered,6753,SSTR3,_FINAL_SUB1
1,9.142857142857142,Clustered,53637,S1PR5,_FINAL_SUB1
1,9.142857142857142,Seed,1903,S1PR3,_FINAL_SUB1
1,9.142857142857142,Clustered,6374,CXCL5,_FINAL_SUB1
1,9.142857142857142,Clustered,7852,CXCR4,_FINAL_SUB1
1,9.142857142857142,Clustered,3576,CXCL8,_FINAL_SUB1
1,9.142857142857142,Clustered,2357,FPR1,_FINAL_SUB1
1,9.142857142857142,Clustered,728,C5AR1,_FINAL_SUB1
1,9.142857142857142,Clustered,3577,CXCR1,_FINAL_SUB1
1,9.142857142857142,Clustered,1230,CCR1,_FINAL_SUB1
1,9.142857142857142,Clustered,2358,FPR2,_FINAL_SUB1
1,9.142857142857142,Clustered,6364,CCL20,_FINAL_SUB1
1,9.142857142857142,Clustered,719,C3AR1,_FINAL_SUB1
1,9.142857142857142,Clustered,1269,CNR2,_FINAL_SUB1
6,2.5,Clustered,1824,DSC2,_FINAL_SUB1
6,2.5,Clustered,6700,SPRR2A,_FINAL_SUB1
6,2.5,Clustered,6707,SPRR3,_FINAL_SUB1
6,2.5,Seed,6698,SPRR1A,_FINAL_SUB1
6,2.5,Clustered,6703,SPRR2D,_FINAL_SUB1
6,2.5,Clustered,6699,SPRR1B,_FINAL_SUB1
7,2.0,Clustered,4923,NTSR1,_FINAL_SUB1
7,2.0,Seed,60675,PROK2,_FINAL_SUB1
7,2.0,Clustered,2867,FFAR2,_FINAL_SUB1
7,2.0,Clustered,2865,FFAR3,_FINAL_SUB1
7,2.0,Clustered,2828,GPR4,_FINAL_SUB1
8,1.7999999999999998,Clustered,8972,MGAM,_FINAL_SUB1
8,1.7999999999999998,Clustered,93432,MGAM2,_FINAL_SUB1
8,1.7999999999999998,Clustered,2548,GAA,_FINAL_SUB1
8,1.7999999999999998,Clustered,3101,HK3,_FINAL_SUB1
8,1.7999999999999998,Seed,114781,BTBD9,_FINAL_SUB1
4,1.7777777777777777,Clustered,4772,NFATC1,_FINAL_SUB1
4,1.7777777777777777,Clustered,5743,PTGS2,_FINAL_SUB1
4,1.7777777777777777,Clustered,3552,IL1A,_FINAL_SUB1
4,1.7777777777777777,Clustered,57580,PREX1,_FINAL_SUB1
4,1.7777777777777777,Seed,2353,FOS,_FINAL_SUB1
4,1.7777777777777777,Clustered,5578,PRKCA,_FINAL_SUB1
4,1.7777777777777777,Clustered,5293,PIK3CD,_FINAL_SUB1
4,1.7777777777777777,Clustered,51764,GNG13,_FINAL_SUB1
4,1.7777777777777777,Clustered,4773,NFATC2,_FINAL_SUB1
3,1.7692307692307692,Clustered,124599,CD300LB,_FINAL_SUB1
3,1.7692307692307692,Clustered,11314,CD300A,_FINAL_SUB1
3,1.7692307692307692,Clustered,4689,NCF4,_FINAL_SUB1
3,1.7692307692307692,Clustered,2219,FCN1,_FINAL_SUB1
3,1.7692307692307692,Seed,929,CD14,_FINAL_SUB1
3,1.7692307692307692,Clustered,6280,S100A9,_FINAL_SUB1
3,1.7692307692307692,Clustered,6279,S100A8,_FINAL_SUB1
3,1.7692307692307692,Clustered,2321,FLT1,_FINAL_SUB1
3,1.7692307692307692,Clustered,342510,CD300E,_FINAL_SUB1
3,1.7692307692307692,Clustered,7099,TLR4,_FINAL_SUB1
3,1.7692307692307692,Clustered,54210,TREM1,_FINAL_SUB1
3,1.7692307692307692,Clustered,3656,IRAK2,_FINAL_SUB1
3,1.7692307692307692,Clustered,6688,SPI1,_FINAL_SUB1
2,1.6,Clustered,114548,NLRP3,_FINAL_SUB1
2,1.6,Clustered,2268,FGR,_FINAL_SUB1
2,1.6,Clustered,7850,IL1R2,_FINAL_SUB1
2,1.6,Clustered,5328,PLAU,_FINAL_SUB1
2,1.6,Clustered,23533,PIK3R5,_FINAL_SUB1
2,1.6,Clustered,3553,IL1B,_FINAL_SUB1
2,1.6,Clustered,3687,ITGAX,_FINAL_SUB1
2,1.6,Clustered,57126,CD177,_FINAL_SUB1
2,1.6,Clustered,1960,EGR3,_FINAL_SUB1
2,1.6,Clustered,1959,EGR2,_FINAL_SUB1
2,1.6,Clustered,3055,HCK,_FINAL_SUB1
2,1.6,Clustered,3586,IL10,_FINAL_SUB1
2,1.6,Clustered,838,CASP5,_FINAL_SUB1
2,1.6,Clustered,58484,NLRC4,_FINAL_SUB1
2,1.6,Clustered,3678,ITGA5,_FINAL_SUB1
2,1.6,Clustered,3684,ITGAM,_FINAL_SUB1
2,1.6,Clustered,4210,MEFV,_FINAL_SUB1
2,1.6,Clustered,2354,FOSB,_FINAL_SUB1
2,1.6,Seed,171389,NLRP6,_FINAL_SUB1
2,1.6,Clustered,23237,ARC,_FINAL_SUB1
9,1.5,Clustered,4782,NFIC,_FINAL_SUB1
9,1.5,Clustered,639,PRDM1,_FINAL_SUB1
9,1.5,Clustered,4774,NFIA,_FINAL_SUB1
9,1.5,Seed,4784,NFIX,_FINAL_SUB1
10,1.5,Clustered,133,ADM,_FINAL_SUB1
10,1.5,Clustered,3640,INSL3,_FINAL_SUB1
10,1.5,Seed,53831,GPR84,_FINAL_SUB1
10,1.5,Clustered,3274,HRH2,_FINAL_SUB1
11,1.25,Clustered,3559,IL2RA,_FINAL_SUB1
11,1.25,Clustered,5590,PRKCZ,_FINAL_SUB1
11,1.25,Clustered,3718,JAK3,_FINAL_SUB1
11,1.25,Seed,5008,OSM,_FINAL_SUB1
5,1.1428571428571428,Clustered,11078,TRIOBP,_FINAL_SUB1
5,1.1428571428571428,Clustered,5837,PYGM,_FINAL_SUB1
5,1.1428571428571428,Clustered,23327,NEDD4L,_FINAL_SUB1
5,1.1428571428571428,Clustered,7161,TP73,_FINAL_SUB1
5,1.1428571428571428,Seed,2316,FLNA,_FINAL_SUB1
5,1.1428571428571428,Clustered,23136,EPB41L3,_FINAL_SUB1
5,1.1428571428571428,Clustered,832,CAPZB,_FINAL_SUB1
12,1.0,Clustered,3853,KRT6A,_FINAL_SUB1
12,1.0,Clustered,3854,KRT6B,_FINAL_SUB1
12,1.0,Seed,286887,KRT6C,_FINAL_SUB1
13,1.0,Seed,119391,GSTO2,_FINAL_SUB1
13,1.0,Clustered,2052,EPHX1,_FINAL_SUB1
13,1.0,Clustered,1572,CYP2F1,_FINAL_SUB1
14,1.0,Seed,2215,FCGR3B,_FINAL_SUB1
14,1.0,Clustered,140885,SIRPA,_FINAL_SUB1
14,1.0,Clustered,10326,SIRPB1,_FINAL_SUB1
