_MEMBER_DEGs,_MEMBER_DMRs,_LogP_DEGs,_LogP_DMRs,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,0,-4.5,0,M39279,M10,1,0,Cell Type Signatures,7,DURANTE ADULT OLFACTORY NEUROEPITHELIUM VASCULAR SMOOTH MUSCLE CELLS,,-4.5,6.5,6.2,30337,93,400,8,2,0.7,2316|2353|2687|6347|7538|9021|9510|10335,FLNA|FOS|GGT5|CCL2|ZFP36|SOCS3|ADAMTS1|IRAG1,-3,0
0,1,0,-4.4,M40220,M01,1,0,Cell Type Signatures,7,DESCARTES FETAL KIDNEY URETERIC BUD CELLS,,-4.4,4.1,5.4,30337,300,296,12,4.1,1.1,1999|5493|5753|7022|11187|63976|84069|119587|406984|440556|647024|100130449,ELF3|PPL|PTK6|TFAP2C|PKP3|PRDM16|PLEKHN1|CPXM2|MIR200B|PRDM16-DT|C6orf132|GPC1-AS1,-2.9,0
1,0,-4.4,0,M39213,M10,1,0,Cell Type Signatures,7,ZHENG CORD BLOOD C4 PUTATIVE EARLY ERYTHROID COMMITMENT,,-4.4,6.3,6,30337,97,400,8,2,0.7,399|969|2069|4354|6503|9173|9839|55843,RHOH|CD69|EREG|MPP1|SLA|IL1RL1|ZEB2|ARHGAP15,-2.9,0
1,0,-4.4,0,M41675,M10,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG ADVENTITIAL FIBROBLAST CELL,,-4.4,3.6,5.2,30337,296,400,14,3.5,0.92,133|2012|2353|2354|3036|4046|5328|5329|5806|6347|7538|9021|26353|64651,ADM|EMP1|FOS|FOSB|HAS1|LSP1|PLAU|PLAUR|PTX3|CCL2|ZFP36|SOCS3|HSPB8|CSRNP1,-2.9,0
0,1,0,-4.3,M39040,M01,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX BRAIN ENDOTHELIAL 2,,-4.3,4.1,5.3,30337,303,296,12,4.1,1.1,2034|7078|7171|8519|9828|10044|10160|22905|23180|51477|79652|219699,EPAS1|TIMP3|TPM4|IFITM1|ARHGEF17|SH2D3C|FARP1|EPN2|RFTN1|ISYNA1|TMEM204|UNC5B,-2.9,0
0,1,0,-4.3,M40010,M01,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC ISTHMUS CELLS,,-4.3,3.4,5,30337,458,296,15,5.1,1.3,218|832|1999|3955|3983|4782|5595|5725|7171|8553|11187|51090|57153|57648|79026,ALDH3A1|CAPZB|ELF3|LFNG|ABLIM1|NFIC|MAPK3|PTBP1|TPM4|BHLHE40|PKP3|PLLP|SLC44A2|NHSL3|AHNAK,-2.9,0
0,1,0,-4.2,M39037,M01,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX OLIG,,-4.2,2.7,4.7,30337,754,296,20,6.8,1.5,2621|3632|4155|5998|6196|7799|9612|9715|9745|9825|11033|22821|23136|23187|51090|53637|55182|58504|219699|389337,GAS6|INPP5A|MBP|RGS3|RPS6KA2|PRDM2|NCOR2|FAM131B|ZNF536|SPATA2|ADAP1|RASA3|EPB41L3|PHLDB1|PLLP|S1PR5|RNF220|ARHGAP22|UNC5B|ARHGEF37,-2.8,0
0,1,0,-4,M39053,M01,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HRGL2C,,-4,3.8,5,30337,326,296,12,4.1,1.1,3955|4035|4773|4774|4784|5578|9469|9516|9902|22997|51090|89796,LFNG|LRP1|NFATC2|NFIA|NFIX|PRKCA|CHST3|LITAF|MRC2|IGSF9B|PLLP|NAV1,-2.6,0
1,1,-2.6,-4,M39055,M11,2,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HRGL2A,,-4,2.9,4.7,30337,600,296,17,5.7,1.4,1312|1572|2817|3955|4035|4774|4784|5578|7078|9469|9516|9620|9902|26960|79026|119587|147179,COMT|CYP2F1|GPC1|LFNG|LRP1|NFIA|NFIX|PRKCA|TIMP3|CHST3|LITAF|CELSR1|MRC2|NBEA|AHNAK|CPXM2|WIPF2,-2.6,0
1,1,-4,-3.2,M40175,M11,2,0,Cell Type Signatures,7,DESCARTES FETAL EYE CORNEAL AND CONJUNCTIVAL EPITHELIAL CELLS,,-4,3.7,5,30337,243,400,12,3,0.85,3557|3576|3860|5265|6279|6280|6699|6707|8796|8870|27076|200315,IL1RN|CXCL8|KRT13|SERPINA1|S100A8|S100A9|SPRR1B|SPRR3|SCEL|IER3|LYPD3|APOBEC3A,-2.6,0
1,0,-4,0,M40226,M10,1,0,Cell Type Signatures,7,DESCARTES FETAL KIDNEY LYMPHOID CELLS,,-4,4,5.1,30337,207,400,11,2.8,0.82,399|969|4050|7852|8277|8530|8698|8740|9437|79931|115350,RHOH|CD69|LTB|CXCR4|TKTL1|CST7|S1PR4|TNFSF14|NCR1|TNIP3|FCRL1,-2.6,0
1,0,-4,0,M40306,M10,1,0,Cell Type Signatures,7,DESCARTES FETAL STOMACH LYMPHOID CELLS,,-4,6.5,5.7,30337,82,400,7,1.8,0.66,969|3385|4050|5880|6402|8698|10235,CD69|ICAM3|LTB|RAC2|SELL|S1PR4|RASGRP2,-2.6,0
1,0,-3.8,0,M40281,M10,1,0,Cell Type Signatures,7,DESCARTES FETAL PLACENTA IGFBP1 DKK1 POSITIVE CELLS,,-3.8,5.2,5.3,30337,116,400,8,2,0.7,943|1268|2687|3290|3552|5997|9173|100507127,TNFRSF8|CNR1|GGT5|HSD11B1|IL1A|RGS2|IL1RL1|LINC00707,-2.5,0
1,1,-2.9,-3.6,M39131,M11,2,0,Cell Type Signatures,7,AIZARANI LIVER C32 MVECS 3,,-3.6,5.7,5.3,30337,125,296,7,2.4,0.88,2022|2034|4774|6886|7078|8519|8553,ENG|EPAS1|NFIA|TAL1|TIMP3|IFITM1|BHLHE40,-2.3,0
0,1,0,-3.6,M39132,M01,1,0,Cell Type Signatures,7,AIZARANI LIVER C33 STELLATE CELLS 2,,-3.6,5.7,5.2,30337,126,296,7,2.4,0.88,2034|4774|6649|7078|7171|9828|51477,EPAS1|NFIA|SOD3|TIMP3|TPM4|ARHGEF17|ISYNA1,-2.3,0
0,1,0,-3.5,M41672,M01,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG VASCULAR SMOOTH MUSCLE CELL,,-3.5,8.4,5.7,30337,61,296,5,1.7,0.75,2034|5154|6649|7171|51477,EPAS1|PDGFA|SOD3|TPM4|ISYNA1,-2.2,0
0,1,0,-3.4,M40013,M01,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC MATURE PIT CELLS,,-3.4,4.1,4.6,30337,224,296,9,3,1,218|1999|3983|5595|7171|23654|57153|79026|219699,ALDH3A1|ELF3|ABLIM1|MAPK3|TPM4|PLXNB2|SLC44A2|AHNAK|UNC5B,-2.1,0
0,1,0,-3.4,M39054,M01,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HRGL2B,,-3.4,3,4.3,30337,440,296,13,4.4,1.2,2817|3955|4035|4773|4774|4784|7078|9469|9516|9902|22997|55684|79026,GPC1|LFNG|LRP1|NFATC2|NFIA|NFIX|TIMP3|CHST3|LITAF|MRC2|IGSF9B|RABL6|AHNAK,-2.1,0
1,0,-3.3,0,M41670,M10,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG LYMPHATIC CELL,,-3.3,3.6,4.4,30337,209,400,10,2.5,0.78,2687|4046|5138|5791|5806|5866|9586|10894|140885|222487,GGT5|LSP1|PDE2A|PTPRE|PTX3|RAB3IL1|CREB5|LYVE1|SIRPA|ADGRG3,-2,0
0,1,0,-3.3,M41682,M01,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG CD8 NAIVE T CELL,,-3.3,5,4.8,30337,144,296,7,2.4,0.88,639|864|2672|4155|8519|53637|81873,PRDM1|RUNX3|GFI1|MBP|IFITM1|S1PR5|ARPC5L,-2,0
0,1,0,-3.2,M39108,M01,1,0,Cell Type Signatures,7,AIZARANI LIVER C4 EPCAM POS BILE DUCT CELLS 1,,-3.2,4.3,4.5,30337,191,296,8,2.7,0.94,1999|4782|5909|6649|7465|23327|56937|57648,ELF3|NFIC|RAP1GAP|SOD3|WEE1|NEDD4L|PMEPA1|NHSL3,-2,0
0,1,0,-3.2,M39271,M01,1,0,Cell Type Signatures,7,HU FETAL RETINA RPE,,-3.2,3.5,4.3,30337,292,296,10,3.4,1.1,1298|7078|8140|8553|9516|9612|23654|63976|119587|440556,COL9A2|TIMP3|SLC7A5|BHLHE40|LITAF|NCOR2|PLXNB2|PRDM16|CPXM2|PRDM16-DT,-1.9,0
1,0,-3.2,0,M40278,M10,1,0,Cell Type Signatures,7,DESCARTES FETAL PLACENTA LYMPHOID CELLS,,-3.2,4.2,4.4,30337,145,400,8,2,0.7,241|399|969|4050|8530|9051|9437|222487,ALOX5AP|RHOH|CD69|LTB|CST7|PSTPIP1|NCR1|ADGRG3,-1.9,0
1,0,-3.1,0,M39312,M10,1,0,Cell Type Signatures,7,CUI DEVELOPING HEART 5TH WEEK VENTRICULAR CARDIOMYOCYTE,,-3.1,5.6,4.8,30337,81,400,6,1.5,0.61,133|1959|2353|5653|7538|199675,ADM|EGR2|FOS|KLK6|ZFP36|MCEMP1,-1.9,0
1,0,-3.1,0,M40033,M10,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL TUFT CELLS,,-3.1,5.6,4.8,30337,81,400,6,1.5,0.61,240|241|3055|5265|23533|26085,ALOX5|ALOX5AP|HCK|SERPINA1|PIK3R5|KLK13,-1.9,0
1,1,-2.3,-3.1,M39194,M11,2,0,Cell Type Signatures,7,HAY BONE MARROW DENDRITIC CELL,,-3.1,4.2,4.4,30337,196,296,8,2.7,0.94,1312|1969|3665|5802|8140|79805|148641|201305,COMT|EPHA2|IRF7|PTPRS|SLC7A5|VASH2|SLC35F3|SPNS3,-1.9,0
1,0,-3.1,0,M41677,M10,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG LIPOFIBROBLAST CELL,,-3.1,4.2,4.4,30337,146,400,8,2,0.7,3036|4327|5270|5329|5997|9021|10135|23135,HAS1|MMP19|SERPINE2|PLAUR|RGS2|SOCS3|NAMPT|KDM6B,-1.9,0
1,0,-3.1,0,M40293,M10,1,0,Cell Type Signatures,7,DESCARTES FETAL SPLEEN MEGAKARYOCYTES,,-3.1,4.7,4.6,30337,113,400,7,1.8,0.66,1960|5341|5473|6515|10335|64407|80739,EGR3|PLEK|PPBP|SLC2A3|IRAG1|RGS18|MPIG6B,-1.9,0
1,1,-3.1,-2.6,M39135,M11,2,0,Cell Type Signatures,7,AIZARANI LIVER C39 EPCAM POS BILE DUCT CELLS 4,,-3.1,3.7,4.3,30337,184,400,9,2.2,0.74,1839|2316|3576|3624|6347|6364|9586|23135|652995,HBEGF|FLNA|CXCL8|INHBA|CCL2|CCL20|CREB5|KDM6B|UCA1,-1.9,0
1,0,-3.1,0,M39260,M10,1,0,Cell Type Signatures,7,MENON FETAL KIDNEY 10 IMMUNE CELLS,,-3.1,5.5,4.7,30337,83,400,6,1.5,0.61,2353|3936|4332|5552|5788|7940,FOS|LCP1|MNDA|SRGN|PTPRC|LST1,-1.9,0
0,1,0,-3,M41678,M01,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG PERICYTE CELL,,-3,5.4,4.7,30337,114,296,6,2,0.82,639|6196|9828|10160|23180|79652,PRDM1|RPS6KA2|ARHGEF17|FARP1|RFTN1|TMEM204,-1.8,0
1,0,-3,0,M39243,M10,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C24 ENDOTHELIAL CELLS AEA AND DVR,,-3,4,4.3,30337,152,400,8,2,0.7,2012|2321|2353|5552|9510|10135|10581|22918,EMP1|FLT1|FOS|SRGN|ADAMTS1|NAMPT|IFITM2|CD93,-1.8,0
1,0,-3,0,M40260,M10,1,0,Cell Type Signatures,7,DESCARTES FETAL MUSCLE LYMPHOID CELLS,,-3,4.4,4.3,30337,120,400,7,1.8,0.66,399|969|2268|3385|4050|8809|9437,RHOH|CD69|FGR|ICAM3|LTB|IL18R1|NCR1,-1.8,0
0,1,0,-2.9,M40012,M01,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC IMMATURE PIT CELLS,,-2.9,4.3,4.3,30337,165,296,7,2.4,0.88,218|3983|5595|7171|23654|57153|79026,ALDH3A1|ABLIM1|MAPK3|TPM4|PLXNB2|SLC44A2|AHNAK,-1.7,0
1,0,-2.9,0,M40189,M10,1,0,Cell Type Signatures,7,DESCARTES FETAL EYE VASCULAR ENDOTHELIAL CELLS,,-2.9,5.1,4.5,30337,90,400,6,1.5,0.61,1901|2321|2687|5138|9754|140706,S1PR1|FLT1|GGT5|PDE2A|STARD8|CCM2L,-1.7,0
0,1,0,-2.9,M39017,M01,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX BIG GROUPS CAJAL RETZIUS,,-2.9,2.7,3.7,30337,499,296,13,4.4,1.2,2621|3983|5493|5799|7161|10458|11332|51422|54897|58504|64506|79026|83648,GAS6|ABLIM1|PPL|PTPRN2|TP73|BAIAP2|ACOT7|PRKAG2|CASZ1|ARHGAP22|CPEB1|AHNAK|FAM167A,-1.7,0
1,1,-2.8,-2.2,M39117,M11,2,0,Cell Type Signatures,7,AIZARANI LIVER C13 LSECS 2,,-2.8,2.9,3.8,30337,283,400,11,2.8,0.82,133|929|2321|5138|7099|10894|22918|28231|57458|64651|85450,ADM|CD14|FLT1|PDE2A|TLR4|LYVE1|CD93|SLCO4A1|TMCC3|CSRNP1|ITPRIP,-1.7,0
0,1,0,-2.8,M39209,M01,1,0,Cell Type Signatures,7,HAY BONE MARROW STROMAL,,-2.8,2.3,3.6,30337,765,296,17,5.7,1.4,2034|2052|2621|3339|4053|5998|6586|6649|7078|9469|9828|9902|10160|56937|119587|219699|100874185,EPAS1|EPHX1|GAS6|HSPG2|LTBP2|RGS3|SLIT3|SOD3|TIMP3|CHST3|ARHGEF17|MRC2|FARP1|PMEPA1|CPXM2|UNC5B|FRMD6-AS2,-1.6,0
0,1,0,-2.8,M39222,M01,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C3 PROXIMAL TUBULE EPITHELIAL CELLS S1 S2,,-2.8,3.7,4,30337,221,296,8,2.7,0.94,1523|3983|4774|10160|23051|23136|23327|51084,CUX1|ABLIM1|NFIA|FARP1|ZHX3|EPB41L3|NEDD4L|CRYL1,-1.6,0
1,0,-2.8,0,M40211,M10,1,0,Cell Type Signatures,7,DESCARTES FETAL INTESTINE LYMPHOID CELLS,,-2.8,3.7,4,30337,164,400,8,2,0.7,969|4050|8530|8698|8807|9173|9437|266747,CD69|LTB|CST7|S1PR4|IL18RAP|IL1RL1|NCR1|RGL4,-1.6,0
0,1,0,-2.8,M39247,M01,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C28 INTERSTITIUM,,-2.8,6,4.6,30337,86,296,5,1.7,0.75,4774|5578|6586|7078|26053,NFIA|PRKCA|SLIT3|TIMP3|AUTS2,-1.6,0
0,1,0,-2.8,M39073,M01,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HOMTN,,-2.8,2.9,3.7,30337,389,296,11,3.7,1.1,1759|3983|6586|8224|9715|11332|26153|54897|79661|113146|494470,DNM1|ABLIM1|SLIT3|SYN3|FAM131B|ACOT7|KIF26A|CASZ1|NEIL1|AHNAK2|ARK2C,-1.6,0
1,0,-2.8,0,M39211,M10,1,0,Cell Type Signatures,7,ZHENG CORD BLOOD C2 PUTATIVE BASOPHIL EOSINOPHIL MAST CELL PROGENITOR,,-2.8,4.7,4.2,30337,96,400,6,1.5,0.61,241|1439|2316|2354|5341|10581,ALOX5AP|CSF2RB|FLNA|FOSB|PLEK|IFITM2,-1.6,0
1,0,-2.7,0,M39219,M10,1,0,Cell Type Signatures,7,ZHENG CORD BLOOD C10 MULTILYMPHOID PROGENITOR,,-2.7,4.7,4.2,30337,97,400,6,1.5,0.61,4050|4311|7940|27128|55824|57580,LTB|MME|LST1|CYTH4|PAG1|PREX1,-1.6,0
1,0,-2.7,0,M41663,M10,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG VEIN CELL,,-2.7,7.6,4.8,30337,40,400,4,1,0.5,3383|7378|10135|10894,ICAM1|UPP1|NAMPT|LYVE1,-1.6,0
1,1,-2.7,-2.7,M41686,M11,2,0,Cell Type Signatures,7,TRAVAGLINI LUNG NATURAL KILLER CELL,,-2.7,4,4,30337,132,400,7,1.8,0.66,3689|5880|8477|8530|11314|27036|54331,ITGB2|RAC2|GPR65|CST7|CD300A|SIGLEC7|GNG2,-1.6,0
1,0,-2.6,0,M41660,M10,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG ALVEOLAR EPITHELIAL TYPE 2 CELL,,-2.6,3.9,3.9,30337,136,400,7,1.8,0.66,722|1441|3162|3240|5265|6781|9308,C4BPA|CSF3R|HMOX1|HP|SERPINA1|STC1|CD83,-1.5,0
1,1,-2.6,-2.4,M40029,M11,2,0,Cell Type Signatures,7,BUSSLINGER DUODENAL MATURE ENTEROCYTES,,-2.6,2.9,3.6,30337,259,400,10,2.5,0.78,1308|4084|4311|4354|4648|5265|6573|6926|8972|84649,COL17A1|MXD1|MME|MPP1|MYO7B|SERPINA1|SLC19A1|TBX3|MGAM|DGAT2,-1.5,0
0,1,0,-2.6,M39284,M01,1,0,Cell Type Signatures,7,DURANTE ADULT OLFACTORY NEUROEPITHELIUM RESPIRATORY COLUMNAR CELLS,,-2.6,11,5.2,30337,28,296,3,1,0.58,218|1999|2034,ALDH3A1|ELF3|EPAS1,-1.5,0
1,0,-2.6,0,M40152,M10,1,0,Cell Type Signatures,7,DESCARTES FETAL ADRENAL VASCULAR ENDOTHELIAL CELLS,,-2.6,3.8,3.9,30337,139,400,7,1.8,0.66,762|978|2828|2867|3142|5138|10501,CA4|CDA|GPR4|FFAR2|HLX|PDE2A|SEMA6B,-1.5,0
0,1,0,-2.5,M40011,M01,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC METALLOTHIONEIN CELLS,,-2.5,5.1,4.1,30337,100,296,5,1.7,0.75,218|23654|51090|57153|284422,ALDH3A1|PLXNB2|PLLP|SLC44A2|SMIM24,-1.4,0
1,0,-2.5,0,M41668,M10,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG BRONCHIAL VESSEL 1 CELL,,-2.5,3,3.6,30337,224,400,9,2.2,0.74,978|1839|1959|1960|6696|7378|9021|9510|10501,CDA|HBEGF|EGR2|EGR3|SPP1|UPP1|SOCS3|ADAMTS1|SEMA6B,-1.4,0
0,1,0,-2.5,M39052,M01,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HOPC,,-2.5,2.8,3.4,30337,366,296,10,3.4,1.1,4035|4784|5578|22905|22997|51084|51090|64506|79661|202333,LRP1|NFIX|PRKCA|EPN2|IGSF9B|CRYL1|PLLP|CPEB1|NEIL1|CMYA5,-1.3,0
1,0,-2.5,0,M40195,M10,1,0,Cell Type Signatures,7,DESCARTES FETAL HEART LYMPHOID CELLS,,-2.5,4.1,3.8,30337,110,400,6,1.5,0.61,6402|8530|8807|9437|79931|115350,SELL|CST7|IL18RAP|NCR1|TNIP3|FCRL1,-1.3,0
1,0,-2.5,0,M39137,M10,1,0,Cell Type Signatures,7,GAO ESOPHAGUS 25W C2 KRT6BPOS SECRETORY PROGENITOR CELLS,,-2.5,4.9,4,30337,77,400,5,1.2,0.56,133|6279|6700|200315|342897,ADM|S100A8|SPRR2A|APOBEC3A|NCCRP1,-1.3,0
0,1,0,-2.4,M41652,M01,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG PROXIMAL BASAL CELL,,-2.4,2.3,3.2,30337,629,296,14,4.7,1.2,218|379|2034|2052|4774|4782|5802|8553|11187|51477|79026|79778|80305|254295,ALDH3A1|ARL4D|EPAS1|EPHX1|NFIA|NFIC|PTPRS|BHLHE40|PKP3|ISYNA1|AHNAK|MICALL2|TRABD|PHYHD1,-1.3,0
1,0,-2.4,0,M39277,M10,1,0,Cell Type Signatures,7,DURANTE ADULT OLFACTORY NEUROEPITHELIUM PERICYTES,,-2.4,4.8,3.9,30337,79,400,5,1.2,0.56,2012|2321|7056|9021|22918,EMP1|FLT1|THBD|SOCS3|CD93,-1.3,0
0,1,0,-2.4,M40236,M01,1,0,Cell Type Signatures,7,DESCARTES FETAL LIVER HEMATOPOIETIC STEM CELLS,,-2.4,9.3,4.7,30337,33,296,3,1,0.58,55182|57501|63976,RNF220|CFAP92|PRDM16,-1.3,0
0,1,0,-2.4,M39070,M01,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HNBGABA,,-2.4,2.2,3.2,30337,703,296,15,5.1,1.3,864|1953|4773|5293|6886|8224|9715|26960|54897|54965|64375|79661|79805|80790|494470,RUNX3|MEGF6|NFATC2|PIK3CD|TAL1|SYN3|FAM131B|NBEA|CASZ1|PIGX|IKZF4|NEIL1|VASH2|CMIP|ARK2C,-1.3,0
1,0,-2.4,0,M40104,M10,1,0,Cell Type Signatures,7,DESCARTES MAIN FETAL EPICARDIAL FAT CELLS,,-2.4,6.1,4.1,30337,50,400,4,1,0.5,366|943|5650|25818,AQP9|TNFRSF8|KLK7|KLK5,-1.3,0
1,0,-2.3,0,M40292,M10,1,0,Cell Type Signatures,7,DESCARTES FETAL SPLEEN MESOTHELIAL CELLS,,-2.3,3.1,3.4,30337,195,400,8,2,0.7,2353|3036|4973|7538|8870|9021|54507|64651,FOS|HAS1|OLR1|ZFP36|IER3|SOCS3|ADAMTSL4|CSRNP1,-1.2,0
1,0,-2.3,0,M41680,M10,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG B CELL,,-2.3,3.4,3.5,30337,155,400,7,1.8,0.66,951|6402|7852|10235|81793|115350|653361,CD37|SELL|CXCR4|RASGRP2|TLR10|FCRL1|NCF1,-1.2,0
1,0,-2.3,0,M40243,M10,1,0,Cell Type Signatures,7,DESCARTES FETAL LUNG LYMPHOID CELLS,,-2.3,3.4,3.5,30337,157,400,7,1.8,0.66,399|4050|8530|8698|8807|9437|115350,RHOH|LTB|CST7|S1PR4|IL18RAP|NCR1|FCRL1,-1.2,0
1,0,-2.3,0,M39264,M10,1,0,Cell Type Signatures,7,HU FETAL RETINA FIBROBLAST,,-2.3,2.4,3.1,30337,385,400,12,3,0.85,1903|2316|2353|2354|3678|5997|6515|6615|7538|9021|9586|10581,S1PR3|FLNA|FOS|FOSB|ITGA5|RGS2|SLC2A3|SNAI1|ZFP36|SOCS3|CREB5|IFITM2,-1.2,0
1,0,-2.2,0,M40105,M10,1,0,Cell Type Signatures,7,DESCARTES MAIN FETAL LYMPHATIC ENDOTHELIAL CELLS,,-2.2,4.4,3.7,30337,86,400,5,1.2,0.56,5138|5806|5866|10894|222487,PDE2A|PTX3|RAB3IL1|LYVE1|ADGRG3,-1.2,0
1,0,-2.2,0,M39170,M10,1,0,Cell Type Signatures,7,MURARO PANCREAS DELTA CELL,,-2.2,2.7,3.2,30337,250,400,9,2.2,0.74,793|2180|2353|3162|3249|3310|5138|5997|8140,CALB1|ACSL1|FOS|HMOX1|HPN|HSPA6|PDE2A|RGS2|SLC7A5,-1.1,0
1,0,-2.2,0,M41676,M10,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG ALVEOLAR FIBROBLAST CELL,,-2.2,3.2,3.3,30337,164,400,7,1.8,0.66,929|3290|3383|4311|4327|5552|50486,CD14|HSD11B1|ICAM1|MME|MMP19|SRGN|G0S2,-1.1,0
0,1,0,-2.2,M39066,M01,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HNBML5,,-2.2,2.4,3.1,30337,465,296,11,3.7,1.1,105|5799|6886|23327|25862|26053|26960|54897|79805|80790|89796,ADARB2|PTPRN2|TAL1|NEDD4L|USP49|AUTS2|NBEA|CASZ1|VASH2|CMIP|NAV1,-1.1,0
1,0,-2.2,0,M40232,M10,1,0,Cell Type Signatures,7,DESCARTES FETAL LIVER LYMPHOID CELLS,,-2.2,3.6,3.4,30337,125,400,6,1.5,0.61,241|4050|4311|8807|9437|115350,ALOX5AP|LTB|MME|IL18RAP|NCR1|FCRL1,-1.1,0
1,0,-2.2,0,M41656,M10,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG MUCOUS CELL,,-2.2,3.6,3.4,30337,125,400,6,1.5,0.61,133|3576|6280|6347|6364|79931,ADM|CXCL8|S100A9|CCL2|CCL20|TNIP3,-1.1,0
1,0,-2.1,0,M39079,M10,1,0,Cell Type Signatures,7,ZHONG PFC MAJOR TYPES OPC,,-2.1,4.2,3.5,30337,91,400,5,1.2,0.56,5142|5270|10215|23237|116448,PDE4B|SERPINE2|OLIG2|ARC|OLIG1,-1.1,0
1,0,-2.1,0,M40134,M10,1,0,Cell Type Signatures,7,DESCARTES MAIN FETAL TROPHOBLAST GIANT CELLS,,-2.1,3.1,3.2,30337,169,400,7,1.8,0.66,133|8291|26353|54507|55301|79865|80740,ADM|DYSF|HSPB8|ADAMTSL4|OLAH|TREML2|LY6G6C,-1.1,0
1,0,-2.1,0,M40279,M10,1,0,Cell Type Signatures,7,DESCARTES FETAL PLACENTA TROPHOBLAST GIANT CELLS,,-2.1,4.1,3.5,30337,92,400,5,1.2,0.56,3624|26353|55301|79865|80740,INHBA|HSPB8|OLAH|TREML2|LY6G6C,-1.1,0
0,1,0,-2.1,M39245,M01,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C26 MESANGIAL CELLS,,-2.1,3.5,3.3,30337,177,296,6,2,0.82,2022|2034|5578|7078|26960|79026,ENG|EPAS1|PRKCA|TIMP3|NBEA|AHNAK,-1,0
1,0,-2.1,0,M39216,M10,1,0,Cell Type Signatures,7,ZHENG CORD BLOOD C7 PUTATIVE LYMPHOID PRIMED MULTIPOTENT PROGENITOR 1,,-2.1,4,3.4,30337,95,400,5,1.2,0.56,1441|5791|6402|7439|9595,CSF3R|PTPRE|SELL|BEST1|CYTIP,-1,0
1,0,-2,0,M39148,M10,1,0,Cell Type Signatures,7,GAO SMALL INTESTINE 24W C4 ENTEROCYTE PROGENITOR SUBTYPE 2,,-2,3.9,3.3,30337,97,400,5,1.2,0.56,6280|10437|27284|50486|196410,S100A9|IFI30|SULT1B1|G0S2|TMT1B,-0.98,0
1,0,-2,0,M39210,M10,1,0,Cell Type Signatures,7,ZHENG CORD BLOOD C1 PUTATIVE MEGAKARYOCYTE PROGENITOR,,-2,3.9,3.3,30337,98,400,5,1.2,0.56,2212|5341|5473|64407|83706,FCGR2A|PLEK|PPBP|RGS18|FERMT3,-0.97,0
0,1,0,-2,M39125,M01,1,0,Cell Type Signatures,7,AIZARANI LIVER C24 EPCAM POS BILE DUCT CELLS 3,,-2,3.3,3.1,30337,185,296,6,2,0.82,1999|3983|7171|7465|56937|57648,ELF3|ABLIM1|TPM4|WEE1|PMEPA1|NHSL3,-0.96,0
